# generated from DICOM standard 2024c
# columns are in the same order as parameters to the DicomTag constructor
# eg. tag;name;varName;vr;isMultiVrTag;vmLow;vmHigh;isRetired
#
533084;On Axis Background Anatomic Structure Code Sequence (Trial);OnAxisBackgroundAnatomicStructureCodeSequenceTrial;SQ;False;1;1;True
536577;Alternate Representation Sequence;AlternateRepresentationSequence;SQ;False;1;1;False
536578;Available Transfer Syntax UID;AvailableTransferSyntaxUID;UI;False;1;4294967295;False
536592;Irradiation Event UID;IrradiationEventUID;UI;False;1;4294967295;False
536593;Source Irradiation Event Sequence;SourceIrradiationEventSequence;SQ;False;1;1;False
536594;Radiopharmaceutical Administration Event UID;RadiopharmaceuticalAdministrationEventUID;UI;False;1;1;False
540672;Identifying Comments;IdentifyingComments;LT;False;1;1;True
561159;Frame Type;FrameType;CS;False;4;5;False
561298;Referenced Image Evidence Sequence;ReferencedImageEvidenceSequence;SQ;False;1;1;False
561441;Referenced Raw Data Sequence;ReferencedRawDataSequence;SQ;False;1;1;False
561443;Creator-Version UID;CreatorVersionUID;UI;False;1;1;False
561444;Derivation Image Sequence;DerivationImageSequence;SQ;False;1;1;False
561492;Source Image Evidence Sequence;SourceImageEvidenceSequence;SQ;False;1;1;False
561669;Pixel Presentation;PixelPresentation;CS;False;1;1;False
561670;Volumetric Properties;VolumetricProperties;CS;False;1;1;False
561671;Volume Based Calculation Technique;VolumeBasedCalculationTechnique;CS;False;1;1;False
561672;Complex Image Component;ComplexImageComponent;CS;False;1;1;False
561673;Acquisition Contrast;AcquisitionContrast;CS;False;1;1;False
561685;Derivation Code Sequence;DerivationCodeSequence;SQ;False;1;1;False
561719;Referenced Presentation State Sequence;ReferencedPresentationStateSequence;SQ;False;1;1;False
562192;Referenced Other Plane Sequence;ReferencedOtherPlaneSequence;SQ;False;1;1;False
562264;Frame Display Sequence;FrameDisplaySequence;SQ;False;1;1;False
562265;Recommended Display Frame Rate in Float;RecommendedDisplayFrameRateInFloat;FL;False;1;1;False
562272;Skip Frame Range Flag;SkipFrameRangeFlag;CS;False;1;1;False
1048592;Patient's Name;PatientName;PN;False;1;1;False
1048608;Patient ID;PatientID;LO;False;1;1;False
1048609;Issuer of Patient ID;IssuerOfPatientID;LO;False;1;1;False
1048610;Type of Patient ID;TypeOfPatientID;CS;False;1;1;False
1048612;Issuer of Patient ID Qualifiers Sequence;IssuerOfPatientIDQualifiersSequence;SQ;False;1;1;False
1048614;Source Patient Group Identification Sequence;SourcePatientGroupIdentificationSequence;SQ;False;1;1;False
1048615;Group of Patients Identification Sequence;GroupOfPatientsIdentificationSequence;SQ;False;1;1;False
1048616;Subject Relative Position in Image;SubjectRelativePositionInImage;US;False;3;3;False
1048624;Patient's Birth Date;PatientBirthDate;DA;False;1;1;False
1048626;Patient's Birth Time;PatientBirthTime;TM;False;1;1;False
1048627;Patient's Birth Date in Alternative Calendar;PatientBirthDateInAlternativeCalendar;LO;False;1;1;False
1048628;Patient's Death Date in Alternative Calendar;PatientDeathDateInAlternativeCalendar;LO;False;1;1;False
1048629;Patient's Alternative Calendar;PatientAlternativeCalendar;CS;False;1;1;False
1048640;Patient's Sex;PatientSex;CS;False;1;1;False
1048656;Patient's Insurance Plan Code Sequence;PatientInsurancePlanCodeSequence;SQ;False;1;1;False
1048833;Patient's Primary Language Code Sequence;PatientPrimaryLanguageCodeSequence;SQ;False;1;1;False
